review,rating
Good product in its price,4.0 out of 5 stars
Good product for gift,4.0 out of 5 stars
Good as we expected weight less..,4.0 out of 5 stars
Super,4.0 out of 5 stars
Best of best. 👍,4.0 out of 5 stars
Good product,4.0 out of 5 stars
It's a good product in a true price,4.0 out of 5 stars
"Product is good
Cons :- No rain protection cover",4.0 out of 5 stars
Good,4.0 out of 5 stars
"MRP.2300 but 700rs price buying ❤️
Good quality material bag
Overall good ☺️",4.0 out of 5 stars
Travel,4.0 out of 5 stars
It's shows raincover but it's actually a water resistant material there is no raincover inside the bag,4.0 out of 5 stars
The outer fabric of bag is water resistant but water can come through zips.,4.0 out of 5 stars
Nice school bag,4.0 out of 5 stars
Light weight and comfortable,4.0 out of 5 stars
The bag is good for capacity and it is very good for travelling to take even to school it's very good but tear in one month or two months request to not by product you can choose another product please don't buy this product event is going to buy we will take it careful or like for travelling don't take for school why I said to not take district school because when you take this school it will get automatically tear and in four months aur 3 month by this product please if you are travelling then you can buy this don't take to school that's all.,3.0 out of 5 stars
As expected,4.0 out of 5 stars
Bag is almost good but i hate it small packet for water bottles,4.0 out of 5 stars
I had bought this for my son studied in class 4th. Material is very good but sticking is not good enough as a brand you trust on. Stuff is really good and light weight.,4.0 out of 5 stars
 Good product good storage space. 1 year warranty is plus point,4.0 out of 5 stars
Amazing product... Recommended to buy it,4.0 out of 5 stars
I purchased other bags of American tourister are better than this bag,4.0 out of 5 stars
Good buy,4.0 out of 5 stars
Not a laptop pouch inside,4.0 out of 5 stars
I am using 7 month,4.0 out of 5 stars
" Well, overall a good product except the issue that i faced with the pockets of the bag where they got torn off because they were made of net. And because of the way kids handle the bag, the side pockets got torn away.

Apart from this pocket issue, the bag is superb",4.0 out of 5 stars
"Pros:
- Lightweight
- Zippers are good.
Cons:
- Not enough space.
- Don't have too many pockets.",4.0 out of 5 stars
Best and loglasting product,4.0 out of 5 stars
I was disappointed about the fact tht it don't have a raincover ..... Other than tht it's good,4.0 out of 5 stars
I like weight and dislike is laptop💻💻 row,4.0 out of 5 stars
Good product and lightweight beg...,4.0 out of 5 stars
Bag look nice and very comfortable. One concern is one Zip is little tight. No other problems.,4.0 out of 5 stars
I can use 6 month good performance,4.0 out of 5 stars
Bought this bag for my son college a good durable bag.,4.0 out of 5 stars
"I bought the blue bag and loved it ever since I first tried it. Great fit and perfect for my need- school. It is easy to pack the heavy textbooks in this and I have fallen in love with this bag!
Only problem though is that it could have more compartments, very small ones, for stuff like keeping identity card, money etc.
But great product, and I have rated it 4/5",4.0 out of 5 stars
Good one,4.0 out of 5 stars
MARKET MAI IS RATE MIL JATI HAI VESE KHUCH KHASH NHI HAI THIKTHAK HAI VESE UTNI KHERAB NHI HAI,3.0 out of 5 stars
"Superb
Nice product",4.0 out of 5 stars
Good under this price range of 1200,4.0 out of 5 stars
Can be used as school bag or even for a day's picnic,4.0 out of 5 stars
Very good,4.0 out of 5 stars
Good,4.0 out of 5 stars
Overall the bag is a perfect choice for 10th grade students but it is quite expensive... Quality is good nd if ur budget is around Rs 1000 then go 4 it.... Everything is just lit man!!!!,4.0 out of 5 stars
